Codice,Descrizione
V69_70,"legal and accounting activities, activities of head offices, management consultancy activities"
M69_70,"legal and accounting activities, activities of head offices, management consultancy activities"
V71,"architectural and engineering activities, technical testing and analysis"
M71,"architectural and engineering activities, technical testing and analysis"
VMB,scientific research and development
M72,scientific research and development
VMC,"advertising and market research, other professional, scientific and technical activities, veterinary activities"
M73T75,"advertising and market research, other professional, scientific and technical activities, veterinary activities"
V73,advertising and market research
M73,advertising and market research
V74_75,"other professional, scientific and technical activities, veterinary activities"
M74_75,"other professional, scientific and technical activities, veterinary activities"
VN,administrative and support service activities
N,administrative and support service activities
V77,rental and leasing activities
N77,rental and leasing activities
V78,employment activities
N78,employment activities
V79,"travel agency, tour operator reservation service and related activities"
N79,"travel agency, tour operator reservation service and related activities"
V80_82,"security and investigation activities, services to buildings and landscape activities, office administrative, office support and other business support activities"
N80T82,"security and investigation activities, services to buildings and landscape activities, office administrative, office support and other business support activities"
OTU,"public administration and defence, compulsory social security, education, human health and social work activities,arts, entertainment and recreation, repair of household goods and other services"
VO_Q,"public administration and defence, compulsory social security, education, human health and social work activities"
OTQ,"public administration and defence, compulsory social security, education, human health and social work activities"
VO,"public administration and defence, compulsory social security"
O,"public administration and defence, compulsory social security"
VP,education
P,education
VQ,human health and social work activities
Q,human health and social work activities
VQA,human health activities
Q86,human health activities
VQB,social work activities
Q87_88,social work activities
VR_U,"arts, entertainment and recreation, repair of household goods and other services"
RTU,"arts, entertainment and recreation, repair of household goods and other services"
VR_S,"arts, entertainment and recreation, other service activities"
R_S,"arts, entertainment and recreation, other service activities"
VR,"arts, entertainment and recreation"
R,"arts, entertainment and recreation"
V90_92,"creative, arts and entertainment activities, libraries, archives, museums and other cultural activities, gambling and betting activities"
R90T92,"creative, arts and entertainment activities, libraries, archives, museums and other cultural activities, gambling and betting activities"
V93,sports activities and amusement and recreation activities
R93,sports activities and amusement and recreation activities
VS,other service activities
S,other service activities
V94,activities of membership organisations
S94,activities of membership organisations
V95,repair of computers and personal and household goods
S95,repair of computers and personal and household goods
V96,other personal service activities
S96,other personal service activities
VT,"activities of households as employers, undifferentiated goods- and services-producing activities of households for own use"
T,"activities of households as employers, undifferentiated goods- and services-producing activities of households for own use"
VU,services provided by extraterritorial organisations and bodies
U,services provided by extraterritorial organisations and bodies
Z,not applicable
G-I_K_L_N_Q-U,"services (except information and communication, professional, scientific and technical activities, public administration and defence; compulsory social security and education)"
C19_20,"manufacture of coke, chemicals and refined petroleum and chemical products"
C21T23,"manufacture of pharmaceuticals, rubber, plastic and other non-metallic products"
C25T30,"manufacture of fabricated metal products, including machinery and equipment"
C13T16_18_31T33,other manufacturing activities
AAE37TU,"agriculture, forestry and fishing; sewerage, waste collection, treatment and disposal activities, materials recovery, remediation activities and other waste management services; construction; services"
