FREQ,REF_AREA,DATA_TYPE_AGGR,VALUATION,ADJUSTMENT,EDITION,TIME_PERIOD,OBS_VALUE
A,ITC15,B1G_B_W2_S1,V,N,2025M1,2021,10499.0
A,ITC15,B1G_B_W2_S1,V,N,2025M1,2022,11242.0
A,ITC15,B1GQ_B_W2_S1,V,N,2025M1,2021,11772.0
A,ITC15,B1GQ_B_W2_S1,V,N,2025M1,2022,12531.0
A,ITC15,D21X31_C_W2_S1,V,N,2025M1,2021,1273.0
A,ITC15,D21X31_C_W2_S1,V,N,2025M1,2022,1289.0
A,ITC16,B1G_B_W2_S1,V,N,2025M1,2021,17620.0
A,ITC16,B1G_B_W2_S1,V,N,2025M1,2022,19370.0
A,ITC16,B1GQ_B_W2_S1,V,N,2025M1,2021,19757.0
A,ITC16,B1GQ_B_W2_S1,V,N,2025M1,2022,21592.0
A,ITC16,D21X31_C_W2_S1,V,N,2025M1,2021,2137.0
A,ITC16,D21X31_C_W2_S1,V,N,2025M1,2022,2221.0
A,ITC17,B1G_B_W2_S1,V,N,2025M1,2021,5055.0
A,ITC17,B1G_B_W2_S1,V,N,2025M1,2022,5330.0
A,ITC17,B1GQ_B_W2_S1,V,N,2025M1,2021,5668.0
A,ITC17,B1GQ_B_W2_S1,V,N,2025M1,2022,5942.0
A,ITC17,D21X31_C_W2_S1,V,N,2025M1,2021,613.0
A,ITC17,D21X31_C_W2_S1,V,N,2025M1,2022,611.0
A,ITC18,B1G_B_W2_S1,V,N,2025M1,2021,11038.0
A,ITC18,B1G_B_W2_S1,V,N,2025M1,2022,11789.0
A,ITC18,B1GQ_B_W2_S1,V,N,2025M1,2021,12377.0
A,ITC18,B1GQ_B_W2_S1,V,N,2025M1,2022,13141.0
A,ITC18,D21X31_C_W2_S1,V,N,2025M1,2021,1339.0
A,ITC18,D21X31_C_W2_S1,V,N,2025M1,2022,1352.0
A,ITC2,B1G_B_W2_S1,V,N,2025M1,2021,4272.5
A,ITC2,B1G_B_W2_S1,V,N,2025M1,2022,4861.5
A,ITC2,B1G_B_W2_S1,V,N,2025M1,2023,5114.2
A,ITC2,B1GQ_B_W2_S1,V,N,2025M1,2021,4783.0
A,ITC2,B1GQ_B_W2_S1,V,N,2025M1,2022,5409.3
A,ITC2,B1GQ_B_W2_S1,V,N,2025M1,2023,5699.0
A,ITC2,D21X31_C_W2_S1,V,N,2025M1,2021,510.5
A,ITC2,D21X31_C_W2_S1,V,N,2025M1,2022,547.7
A,ITC2,D21X31_C_W2_S1,V,N,2025M1,2023,584.9
A,ITC20,B1G_B_W2_S1,V,N,2025M1,2021,4272.0
A,ITC20,B1G_B_W2_S1,V,N,2025M1,2022,4862.0
A,ITC20,B1GQ_B_W2_S1,V,N,2025M1,2021,4783.0
A,ITC20,B1GQ_B_W2_S1,V,N,2025M1,2022,5409.0
A,ITC20,D21X31_C_W2_S1,V,N,2025M1,2021,511.0
A,ITC20,D21X31_C_W2_S1,V,N,2025M1,2022,548.0
A,ITC3,B1G_B_W2_S1,V,N,2025M1,2021,44184.7
A,ITC3,B1G_B_W2_S1,V,N,2025M1,2022,47885.5
A,ITC3,B1G_B_W2_S1,V,N,2025M1,2023,51435.3
A,ITC3,B1GQ_B_W2_S1,V,N,2025M1,2021,49382.5
A,ITC3,B1GQ_B_W2_S1,V,N,2025M1,2022,53049.1
A,ITC3,B1GQ_B_W2_S1,V,N,2025M1,2023,56952.2
A,ITC3,D21X31_C_W2_S1,V,N,2025M1,2021,5197.8
A,ITC3,D21X31_C_W2_S1,V,N,2025M1,2022,5163.6
A,ITC3,D21X31_C_W2_S1,V,N,2025M1,2023,5516.9
A,ITC31,B1G_B_W2_S1,V,N,2025M1,2021,4665.0
A,ITC31,B1G_B_W2_S1,V,N,2025M1,2022,5067.0
A,ITC31,B1GQ_B_W2_S1,V,N,2025M1,2021,5214.0
A,ITC31,B1GQ_B_W2_S1,V,N,2025M1,2022,5614.0
A,ITC31,D21X31_C_W2_S1,V,N,2025M1,2021,549.0
